OrderID,Customer,City,Product,Sales,Quantity,Date
1001,Ravi,Chennai,Laptop,65000,1,2025-01-10
1002,Arun,Coimbatore,Mouse,800,2,2025-01-11
1003,Priya,Madurai,Keyboard,,1,2025-01-12
1004,Anu,Salem,Monitor,15000,1,2025-01-13
1004,Anu,Salem,Monitor,15000,1,2025-01-13
1005,Kumar,chennai,Laptop,64000,1,2025-01-14
1006,Divya,,Printer,12000,1,2025-01-15
1007,Ram,Erode,Mouse,900,,2025-01-16
1008,Suresh,Coimbatore,Laptop,67000,1,
1009,Meena,Chennai,Keyboard,1500,2,2025-01-18
1010,Raj,Madurai,Mouse,850,1,2025-01-19
1011,Arun,Coimbatore,Monitor,14500,1,2025-01-20
1012,Priya,Salem,Laptop,69000,1,2025-01-21
